{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'random', 'seed': 0, 's': 2.405969534451463, 'gap': 0.00016953445146272728, 'seconds': 49.2}
{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'random', 'seed': 1, 's': 2.4059695689262552, 'gap': 0.00016956892625508146, 'seconds': 47.2}
{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'random', 'seed': 2, 's': 2.405969630575644, 'gap': 0.00016963057564378659, 'seconds': 45.3}
{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'llm', 'seed': 0, 's': 2.405969534451463, 'gap': 0.00016953445146272728, 'seconds': 444.9}
{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'llm', 'seed': 1, 's': 2.4059695689262552, 'gap': 0.00016956892625508146, 'seconds': 453.8}
{'shape': 'tan', 'n': '5', 'container': 'tan', 'record': 2.4058, 'proposer': 'llm', 'seed': 2, 's': 2.405969630575644, 'gap': 0.00016963057564378659, 'seconds': 428.8}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'random', 'seed': 0, 's': 2.824347535833242, 'gap': -0.00015246416675784857, 'seconds': 53.4}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'random', 'seed': 1, 's': 2.8277157272832834, 'gap': 0.003215727283283343, 'seconds': 143.6}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'random', 'seed': 2, 's': 2.825824232065673, 'gap': 0.0013242320656727813, 'seconds': 54.9}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'llm', 'seed': 0, 's': 2.824347535833242, 'gap': -0.00015246416675784857, 'seconds': 601.4}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'llm', 'seed': 1, 's': 2.8277157272832834, 'gap': 0.003215727283283343, 'seconds': 786.4}
{'shape': 'tan', 'n': '7', 'container': 'tan', 'record': 2.8245, 'proposer': 'llm', 'seed': 2, 's': 2.825824232065673, 'gap': 0.0013242320656727813, 'seconds': 452.6}
{'shape': 'tan', 'n': '10', 'container': 'tan', 'record': 3.3075, 'proposer': 'random', 'seed': 0, 's': 3.3261908124981723, 'gap': 0.01869081249817217, 'seconds': 69.1}
