instance,state,rel_error
3 tan in tan,0,1.714e-09
3 tan in tan,1,1.251e-09
3 tan in tan,2,2.023e-09
3 tan in tan,3,2.072e-09
3 tan in tan,4,1.656e-09
3 tan in tan,5,4.674e-10
3 tan in tan,6,1.014e-09
3 tan in tan,7,3.629e-09
3 tan in tan,8,1.079e-09
3 tan in tan,9,5.500e-10
3 circle in tan,0,3.761e-09
3 circle in tan,1,3.033e-09
3 circle in tan,2,3.439e-09
3 circle in tan,3,7.367e-09
3 circle in tan,4,2.139e-09
3 circle in tan,5,2.058e-09
3 circle in tan,6,1.394e-09
3 circle in tan,7,1.992e-09
3 circle in tan,8,2.360e-09
3 circle in tan,9,2.528e-09
4 tan in L,0,1.439e-09
4 tan in L,1,1.502e-09
4 tan in L,2,3.456e-09
4 tan in L,3,2.817e-09
4 tan in L,4,1.160e-09
4 tan in L,5,1.840e-09
4 tan in L,6,2.846e-09
4 tan in L,7,1.918e-09
4 tan in L,8,2.504e-09
4 tan in L,9,1.061e-09
4 square in square,0,4.277e-09
4 square in square,1,2.026e-09
4 square in square,2,4.273e-09
4 square in square,3,0.000e+00
4 square in square,4,2.739e-09
4 square in square,5,4.165e-09
4 square in square,6,4.018e-09
4 square in square,7,3.293e-09
4 square in square,8,7.902e-10
4 square in square,9,1.635e-09
