family,n,record_year
tans in tans,3,2005
tans in tans,5,2005
tans in tans,6,2007
tans in tans,7,2007
tans in tans,10,2007
tans in tans,11,2005
tans in tans,12,2007
tans in tans,13,2005
tans in tans,14,2005
tans in tans,15,2007
tans in tans,17,2007
tans in tans,19,2005
tans in tans,20,2007
tans in tans,21,2007
tans in tans,22,2009
tans in tans,23,2007
tans in tans,24,2007
tans in tans,26,2009
tans in tans,27,2009
tans in L's,3,2011
tans in L's,4,2012
tans in L's,7,2012
tans in L's,8,2012
tans in L's,9,2012
tans in L's,10,2012
tans in L's,13,2012
tans in L's,14,2012
tans in L's,15,2012
tans in L's,16,2012
tans in L's,17,2012
L's in tans,4,2012
L's in tans,5,2012
L's in tans,13,2012
L's in tans,17,2025
L's in tans,19,2025
L's in tans,20,2025
circles in tans,2,1996
circles in tans,3,1996
circles in tans,4,1996
circles in tans,5,1997
circles in tans,6,1997
circles in tans,7,1996
circles in tans,8,1997
circles in tans,11,2005
circles in tans,12,2005
circles in tans,13,1997
circles in tans,14,2005
circles in tans,16,2006
circles in tans,17,2006
circles in tans,18,2009
circles in tans,19,2006
circles in tans,20,2008
octagons in tans,5,2026
octagons in tans,7,2026
octagons in tans,8,2026
octagons in tans,11,2026
octagons in tans,12,2026
octagons in tans,13,2026
octagons in tans,14,2026
octagons in tans,17,2026
octagons in tans,18,2026
octagons in tans,19,2026
octagons in tans,20,2026
octagons in tans,22,2026
