op,family,rate
jiggle,L in square,0.00602
jiggle,circle in square,0.00000
jiggle,circle in tan,0.00000
jiggle,domino in square,0.01132
jiggle,ngon:3 in tan,0.00131
jiggle,square in square,0.01062
jiggle,square in tan,0.00067
jiggle,tan in L,0.02509
jiggle,tan in domino,0.50000
jiggle,tan in square,0.02463
jiggle,tan in tan,0.03867
relocate,L in square,0.00255
relocate,circle in square,0.00000
relocate,circle in tan,0.00000
relocate,domino in square,0.01442
relocate,ngon:3 in tan,0.00000
relocate,square in square,0.01355
relocate,square in tan,0.00085
relocate,tan in L,0.01581
relocate,tan in domino,0.50000
relocate,tan in square,0.01357
relocate,tan in tan,0.02253
rotate,L in square,0.00599
rotate,circle in square,0.00000
rotate,circle in tan,0.00000
rotate,domino in square,0.01990
rotate,ngon:3 in tan,0.00039
rotate,square in square,0.01583
rotate,square in tan,0.00298
rotate,tan in L,0.02673
rotate,tan in domino,0.00000
rotate,tan in square,0.01891
rotate,tan in tan,0.02584
swap,L in square,0.00000
swap,circle in square,0.00000
swap,circle in tan,0.00000
swap,domino in square,0.01091
swap,ngon:3 in tan,0.00143
swap,square in square,0.00727
swap,square in tan,0.00000
swap,tan in L,0.02730
swap,tan in domino,nan
swap,tan in square,0.03455
swap,tan in tan,0.04000
