family,n,best_s,page_value
tan in tan,2,1.414213563,
tan in tan,3,1.961790009,1.9617
tan in tan,4,2.000000001,
tan in tan,5,2.405969534,2.4057
tan in tan,6,2.700766538,2.6906
tan in tan,7,2.824347536,2.8246
tan in tan,8,3.000000062,
tan in tan,9,3.000000004,
tan in tan,10,3.307463587,3.3078
tan in tan,11,3.414214206,3.4142
tan in tan,12,3.531073346,3.5317
tan in L,2,0.707106782,
tan in L,3,0.911437829,0.9114
tan in L,4,0.965925876,0.9659
tan in L,5,1.000000005,
tan in L,6,1.000000002,
tan in L,7,1.138071235,1.1381
tan in L,8,1.278373984,1.2761
tan in L,9,1.354303912,1.3333
tan in L,10,1.401990033,1.4005
tan in L,11,1.414213564,
tan in L,12,1.414213796,
tan in L,13,1.544604223,1.4995
ngon:3 in tan,4,2.366025423,2.36602
ngon:3 in tan,5,2.539058236,2.53905
ngon:3 in tan,6,2.638958619,2.63895
ngon:3 in tan,7,2.789729071,2.78972
ngon:3 in tan,8,3.073133263,3.07313
ngon:3 in tan,9,3.182522402,3.18252
ngon:3 in tan,10,3.340683845,3.34084
ngon:3 in tan,11,3.469521079,3.46951
ngon:3 in tan,12,3.624926909,3.62487
ngon:3 in tan,13,3.711633948,3.71163
ngon:3 in tan,14,3.882695636,3.88268
ngon:3 in tan,15,3.983827545,3.98382
ngon:3 in tan,16,4.039093931,4.03901
ngon:3 in tan,17,4.200669944,4.20127
ngon:3 in tan,18,4.271239295,4.2712
ngon:3 in tan,19,4.459183625,4.45701
ngon:3 in tan,20,4.561250871,4.56124
ngon:3 in tan,21,4.641413377,4.65799
ngon:3 in tan,22,4.732769665,4.73289
ngon:3 in tan,23,4.829741753,4.8547
ngon:3 in tan,24,4.911680354,
ngon:3 in tan,25,5.055865320,
ngon:3 in tan,26,5.109601216,
ngon:3 in tan,27,5.197734031,
ngon:3 in tan,28,5.323679229,
ngon:3 in tan,29,5.405527861,
ngon:3 in tan,30,5.462629885,
