series,iter,loss
train,10,0.753
train,20,0.299
train,30,0.372
train,40,0.291
train,50,0.223
train,60,0.301
train,70,0.235
train,80,0.327
train,90,0.242
train,100,0.212
train,110,0.28
train,120,0.232
train,130,0.197
train,140,0.233
train,150,0.211
train,160,0.173
train,170,0.156
train,180,0.129
train,190,0.202
train,200,0.207
train,210,0.183
train,220,0.252
train,230,0.189
train,240,0.11
train,250,0.203
train,260,0.21
train,270,0.165
train,280,0.218
train,290,0.267
train,300,0.228
train,310,0.277
train,320,0.147
train,330,0.07
train,340,0.25
train,350,0.22
train,360,0.186
train,370,0.234
train,380,0.338
train,390,0.201
train,400,0.105
train,410,0.185
train,420,0.148
train,430,0.157
train,440,0.134
train,450,0.184
train,460,0.208
train,470,0.048
train,480,0.115
train,490,0.149
train,500,0.244
train,510,0.152
train,520,0.195
train,530,0.177
train,540,0.178
train,550,0.155
train,560,0.223
train,570,0.146
train,580,0.086
train,590,0.138
train,600,0.074
train,610,0.073
train,620,0.124
train,630,0.139
train,640,0.098
train,650,0.155
train,660,0.183
train,670,0.123
train,680,0.079
train,690,0.158
train,700,0.142
train,710,0.126
train,720,0.116
train,730,0.161
train,740,0.027
train,750,0.125
train,760,0.141
train,770,0.1
train,780,0.136
train,790,0.125
train,800,0.096
train,810,0.077
train,820,0.055
train,830,0.165
train,840,0.064
train,850,0.123
train,860,0.219
train,870,0.111
train,880,0.131
train,890,0.075
train,900,0.076
train,910,0.087
train,920,0.234
train,930,0.039
train,940,0.115
train,950,0.151
train,960,0.088
train,970,0.146
train,980,0.043
train,990,0.13
train,1000,0.101
train,1010,0.115
train,1020,0.061
train,1030,0.071
train,1040,0.078
train,1050,0.194
train,1060,0.099
train,1070,0.087
train,1080,0.122
train,1090,0.063
train,1100,0.037
train,1110,0.054
train,1120,0.069
train,1130,0.043
train,1140,0.082
train,1150,0.108
train,1160,0.067
train,1170,0.07
train,1180,0.057
train,1190,0.099
train,1200,0.047
train,1210,0.056
train,1220,0.033
train,1230,0.146
train,1240,0.076
train,1250,0.045
train,1260,0.084
train,1270,0.094
train,1280,0.071
train,1290,0.064
train,1300,0.109
train,1310,0.094
train,1320,0.097
train,1330,0.042
train,1340,0.092
train,1350,0.038
train,1360,0.081
train,1370,0.094
train,1380,0.122
train,1390,0.107
train,1400,0.07
train,1410,0.102
train,1420,0.112
train,1430,0.078
train,1440,0.079
train,1450,0.153
train,1460,0.067
train,1470,0.039
train,1480,0.103
train,1490,0.088
train,1500,0.061
train,1510,0.066
train,1520,0.045
train,1530,0.054
train,1540,0.063
train,1550,0.082
train,1560,0.073
train,1570,0.03
train,1580,0.086
train,1590,0.032
train,1600,0.036
train,1610,0.071
train,1620,0.064
train,1630,0.052
train,1640,0.061
train,1650,0.041
train,1660,0.039
train,1670,0.068
train,1680,0.053
train,1690,0.054
train,1700,0.052
train,1710,0.033
train,1720,0.057
train,1730,0.059
train,1740,0.043
train,1750,0.044
train,1760,0.08
train,1770,0.046
train,1780,0.023
train,1790,0.031
train,1800,0.05
train,1810,0.041
train,1820,0.035
train,1830,0.074
train,1840,0.024
train,1850,0.081
train,1860,0.064
train,1870,0.048
train,1880,0.1
train,1890,0.074
train,1900,0.043
train,1910,0.055
train,1920,0.028
train,1930,0.032
train,1940,0.065
train,1950,0.047
train,1960,0.042
train,1970,0.055
train,1980,0.058
train,1990,0.026
train,2000,0.062
train,2010,0.073
train,2020,0.078
train,2030,0.059
train,2040,0.091
train,2050,0.043
train,2060,0.089
train,2070,0.061
train,2080,0.051
train,2090,0.025
train,2100,0.051
train,2110,0.092
train,2120,0.052
train,2130,0.028
train,2140,0.032
train,2150,0.032
train,2160,0.051
train,2170,0.027
train,2180,0.039
train,2190,0.035
train,2200,0.03
train,2210,0.052
train,2220,0.048
train,2230,0.028
train,2240,0.053
train,2250,0.037
train,2260,0.031
train,2270,0.033
train,2280,0.04
train,2290,0.033
train,2300,0.025
train,2310,0.034
train,2320,0.039
train,2330,0.04
train,2340,0.05
train,2350,0.045
train,2360,0.045
train,2370,0.046
train,2380,0.042
train,2390,0.043
train,2400,0.04
train,2410,0.072
train,2420,0.033
train,2430,0.04
train,2440,0.029
train,2450,0.065
train,2460,0.071
train,2470,0.031
train,2480,0.053
train,2490,0.041
train,2500,0.032
train,2510,0.034
train,2520,0.048
train,2530,0.038
train,2540,0.08
train,2550,0.036
train,2560,0.066
train,2570,0.057
train,2580,0.029
train,2590,0.051
train,2600,0.048
train,2610,0.026
train,2620,0.051
train,2630,0.046
train,2640,0.044
train,2650,0.037
train,2660,0.058
train,2670,0.026
train,2680,0.064
train,2690,0.039
train,2700,0.038
train,2710,0.027
train,2720,0.023
train,2730,0.022
train,2740,0.044
train,2750,0.022
train,2760,0.027
train,2770,0.043
train,2780,0.033
train,2790,0.022
train,2800,0.022
train,2810,0.034
train,2820,0.048
train,2830,0.061
train,2840,0.032
train,2850,0.045
train,2860,0.044
train,2870,0.041
train,2880,0.035
train,2890,0.031
train,2900,0.049
train,2910,0.04
train,2920,0.033
train,2930,0.038
train,2940,0.033
train,2950,0.022
train,2960,0.025
train,2970,0.053
train,2980,0.037
train,2990,0.063
train,3000,0.046
train,3010,0.041
train,3020,0.048
train,3030,0.042
train,3040,0.032
train,3050,0.049
train,3060,0.032
train,3070,0.056
train,3080,0.034
train,3090,0.04
train,3100,0.026
train,3110,0.043
train,3120,0.035
train,3130,0.036
train,3140,0.037
train,3150,0.036
train,3160,0.043
train,3170,0.036
train,3180,0.048
train,3190,0.043
train,3200,0.062
train,3210,0.043
train,3220,0.03
train,3230,0.048
train,3240,0.037
train,3250,0.027
train,3260,0.043
train,3270,0.041
train,3280,0.035
train,3290,0.035
train,3300,0.044
train,3310,0.029
train,3320,0.049
train,3330,0.03
train,3340,0.044
train,3350,0.04
train,3360,0.032
train,3370,0.021
train,3380,0.031
train,3390,0.034
train,3400,0.036
train,3410,0.028
train,3420,0.053
train,3430,0.054
train,3440,0.061
train,3450,0.039
train,3460,0.051
train,3470,0.045
train,3480,0.038
train,3490,0.029
train,3500,nan
train,3510,nan
train,3520,nan
train,3530,nan
train,3540,nan
train,3550,nan
train,3560,nan
train,3570,nan
train,3580,nan
train,3590,nan
train,3600,nan
train,3610,nan
train,3620,nan
train,3630,nan
train,3640,nan
train,3650,nan
train,3660,nan
train,3670,nan
train,3680,nan
train,3690,nan
train,3700,nan
train,3710,nan
train,3720,nan
train,3730,nan
train,3740,nan
train,3750,nan
train,3760,nan
train,3770,nan
train,3780,nan
train,3790,nan
train,3800,nan
train,3810,nan
train,3820,nan
train,3830,nan
train,3840,nan
train,3850,nan
train,3860,nan
train,3870,nan
train,3880,nan
train,3890,nan
train,3900,nan
train,3910,nan
train,3920,nan
train,3930,nan
train,3940,nan
train,3950,nan
train,3960,nan
train,3970,nan
train,3980,nan
train,3990,nan
train,4000,nan
val,1,1.896
val,200,0.227
val,400,0.21
val,600,0.236
val,800,0.233
val,1000,0.247
val,1200,0.233
val,1400,0.26
val,1600,0.261
val,1800,0.309
val,2000,0.248
val,2200,0.351
val,2400,0.316
val,2600,0.359
val,2800,0.344
val,3000,0.28
val,3200,0.313
val,3400,0.373
val,3600,nan
val,3800,nan
val,4000,nan
