seed,step,s
0,0,3.9739233746
0,1,3.9341841409
0,2,3.8956335416
0,3,3.8582207489
0,4,3.8218977976
0,5,3.7866193856
0,6,3.7523426911
0,7,3.7190272047
0,8,3.6866345749
0,9,3.6551284661
0,10,3.6244744271
0,11,3.5946397706
0,12,3.5655934611
0,13,3.5373060118
0,14,3.5097493887
0,15,3.4828969222
0,16,3.4567232247
0,17,3.4312041145
0,18,3.4063165444
0,19,3.3820385363
0,20,3.3583491195
0,21,3.3352282733
0,22,3.3126568739
0,23,3.2906166447
0,24,3.2690901094
0,25,3.2480605490
0,26,3.2275119607
0,27,3.2074290201
0,28,3.1877970455
0,29,3.1686019644
0,30,3.1498302822
0,31,3.1314690528
0,32,3.1135058507
0,33,3.0959287454
0,34,3.0787262767
0,35,3.0618874316
0,36,3.0454016228
0,37,3.0292586683
0,38,3.0134487720
0,39,2.9979625058
0,40,2.9827907919
0,41,2.9679248872
0,42,2.9533563679
0,43,2.9390771145
0,44,2.9250792989
0,45,2.9113553707
0,46,2.8978980456
0,47,2.8847002931
0,48,2.8717553262
0,49,2.8590565903
0,50,2.8465977538
0,51,2.8343726981
0,52,2.8223755095
0,53,2.8106004699
0,54,2.7990420491
0,55,2.7876948972
0,56,2.7765538371
0,57,2.7656138578
0,58,2.7548701073
0,59,2.7443178870
0,60,2.7339526452
0,61,2.7237699713
0,62,2.7137655908
0,63,2.7137655908
0,64,2.7039353598
0,65,2.6942752601
0,66,2.6847813942
0,67,2.6754499812
0,68,2.6662773524
0,69,2.6572599469
0,70,2.6483943076
0,71,2.6396770781
0,72,2.6311049981
0,73,2.6226749008
0,74,2.6143837091
0,75,2.6062284325
0,76,2.5982061641
0,77,2.5903140779
0,78,2.5825494257
0,79,2.5749095345
0,80,2.5673918041
0,81,2.5599937045
0,82,2.5527127734
1,0,3.7236432494
1,1,3.6864068169
1,2,3.6503383390
1,3,3.6153858573
1,4,3.5815004546
1,5,3.5486360339
1,6,3.5167491184
1,7,3.4857986666
1,8,3.4557459043
1,9,3.4265541691
1,10,3.3981887685
1,11,3.3706168488
1,12,3.3438072746
1,13,3.3177305175
1,14,3.2923585534
1,15,3.2676647678
1,16,3.2436238679
1,17,3.2202118013
1,18,3.1974056806
1,19,3.1751837137
1,20,3.1535251388
1,21,3.1324101638
1,22,3.1118199106
1,23,3.0917363625
1,24,3.0721423154
1,25,3.0530213326
1,26,3.0343577025
1,27,3.0161363983
1,28,2.9983430416
1,29,2.9809638675
1,30,2.9639856921
1,31,2.9473958820
1,32,2.9311823260
1,33,2.9153334082
1,34,2.8998379827
1,35,2.8846853502
1,36,2.8698652359
1,37,2.8553677683
1,38,2.8411834595
1,39,2.8273031872
1,40,2.8137181767
1,41,2.8004199847
1,42,2.7874004835
1,43,2.7746518467
1,44,2.7621665352
1,45,2.7499372838
1,46,2.7379570893
1,47,2.7262191986
1,48,2.7147170974
1,49,2.7034444998
1,50,2.6923953386
1,51,2.6815637555
1,52,2.6709440923
1,53,2.6605308826
1,54,2.6503188434
1,55,2.6503188434
1,56,2.6403028674
1,57,2.6304780162
1,58,2.6208395129
1,59,2.6113827359
1,60,2.6021032120
1,61,2.5929966114
1,62,2.5840587412
1,63,2.5752855403
1,64,2.5666730744
1,65,2.5582175306
1,66,2.5499152135
1,67,2.5417625399
1,68,2.5337560352
1,69,2.5258923287
1,70,2.5181681503
1,71,2.5105803266
1,72,2.5031257769
1,73,2.4958015107
1,74,2.4886046234
1,75,2.4815322942
1,76,2.4745817824
1,77,2.4677504248
1,78,2.4610356331
1,79,2.4544348911
1,80,2.4479457522
1,81,2.4415658373
1,82,2.4415658373
1,83,2.4352928319
1,84,2.4291244845
1,85,2.4230586044
1,86,2.4170930591
1,87,2.4170930591
1,88,2.4112257731
1,89,2.4054547255
1,90,2.3997779486
1,91,2.3941935256
1,92,2.3886995898
1,93,2.3832943220
2,0,3.2232242685
2,1,3.1909920258
2,2,3.1599220985
2,3,3.1299565101
2,4,3.1010410712
2,5,3.0731250744
2,6,3.0461610177
2,7,3.0201043545
2,8,2.9949132663
2,9,2.9705484561
2,10,2.9469729608
2,11,2.9241519795
2,12,2.9020527174
2,13,2.8806442426
2,14,2.8598973551
2,15,2.8397844673
2,16,2.8202794932
