series,key,value,count
records_by_family,L in square,18,4206
records_by_family,circle in square,0,4240
records_by_family,circle in tan,0,4236
records_by_family,domino in square,60,4176
records_by_family,ngon:3 in tan,8,10744
records_by_family,square in square,52,4196
records_by_family,square in tan,5,4235
records_by_family,tan in L,144,6084
records_by_family,tan in domino,4,8
records_by_family,tan in square,91,4145
records_by_family,tan in tan,200,6204
rel_improvement,1.605e-02,,
rel_improvement,2.551e-02,,
rel_improvement,7.062e-03,,
rel_improvement,5.402e-08,,
rel_improvement,5.402e-08,,
rel_improvement,9.680e-07,,
rel_improvement,9.440e-02,,
rel_improvement,7.732e-03,,
rel_improvement,8.613e-02,,
rel_improvement,8.265e-08,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.414e-03,,
rel_improvement,5.101e-07,,
rel_improvement,4.464e-06,,
rel_improvement,7.764e-03,,
rel_improvement,4.900e-09,,
rel_improvement,1.017e-06,,
rel_improvement,3.503e-02,,
rel_improvement,2.369e-02,,
rel_improvement,2.343e-02,,
rel_improvement,7.159e-03,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,5.214e-06,,
rel_improvement,5.101e-07,,
rel_improvement,1.017e-06,,
rel_improvement,4.900e-09,,
rel_improvement,5.101e-07,,
rel_improvement,3.898e-02,,
rel_improvement,7.732e-03,,
rel_improvement,2.009e-02,,
rel_improvement,2.729e-02,,
rel_improvement,7.490e-03,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.265e-08,,
rel_improvement,1.576e-02,,
rel_improvement,7.787e-03,,
rel_improvement,8.285e-03,,
rel_improvement,2.859e-02,,
rel_improvement,8.613e-02,,
rel_improvement,9.183e-07,,
rel_improvement,3.307e-06,,
rel_improvement,6.247e-06,,
rel_improvement,3.307e-06,,
rel_improvement,1.272e-01,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,9.183e-07,,
rel_improvement,4.321e-07,,
rel_improvement,1.017e-06,,
rel_improvement,3.307e-06,,
rel_improvement,7.523e-03,,
rel_improvement,7.140e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.183e-07,,
rel_improvement,8.140e-03,,
rel_improvement,1.338e-06,,
rel_improvement,1.017e-06,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,4.321e-07,,
rel_improvement,7.700e-03,,
rel_improvement,3.924e-08,,
rel_improvement,3.924e-08,,
rel_improvement,1.913e-06,,
rel_improvement,3.065e-02,,
rel_improvement,2.695e-09,,
rel_improvement,6.247e-06,,
rel_improvement,4.227e-02,,
rel_improvement,8.292e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.183e-07,,
rel_improvement,2.283e-02,,
rel_improvement,4.321e-07,,
rel_improvement,1.338e-06,,
rel_improvement,9.183e-07,,
rel_improvement,1.017e-06,,
rel_improvement,2.157e-02,,
rel_improvement,3.769e-10,,
rel_improvement,8.140e-03,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,1.488e-02,,
rel_improvement,7.140e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.913e-06,,
rel_improvement,4.252e-06,,
rel_improvement,4.321e-07,,
rel_improvement,1.017e-06,,
rel_improvement,4.321e-07,,
rel_improvement,1.272e-01,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,7.472e-03,,
rel_improvement,4.321e-07,,
rel_improvement,3.307e-06,,
rel_improvement,1.272e-01,,
rel_improvement,3.307e-06,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,1.155e-01,,
rel_improvement,3.065e-02,,
rel_improvement,8.292e-03,,
rel_improvement,2.283e-02,,
rel_improvement,3.829e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,2.283e-02,,
rel_improvement,4.227e-02,,
rel_improvement,8.785e-03,,
rel_improvement,6.950e-07,,
rel_improvement,6.247e-06,,
rel_improvement,9.680e-07,,
rel_improvement,7.543e-03,,
rel_improvement,5.101e-07,,
rel_improvement,5.101e-07,,
rel_improvement,9.183e-07,,
rel_improvement,9.680e-07,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.470e-02,,
rel_improvement,3.829e-03,,
rel_improvement,4.219e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,8.646e-03,,
rel_improvement,2.526e-02,,
rel_improvement,2.501e-02,,
rel_improvement,8.707e-03,,
rel_improvement,8.707e-03,,
rel_improvement,2.573e-02,,
rel_improvement,6.070e-02,,
rel_improvement,9.183e-07,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,4.219e-07,,
rel_improvement,2.261e-06,,
rel_improvement,2.261e-06,,
rel_improvement,2.261e-06,,
rel_improvement,2.960e-06,,
rel_improvement,2.960e-06,,
rel_improvement,2.960e-06,,
rel_improvement,3.553e-06,,
rel_improvement,3.553e-06,,
rel_improvement,3.553e-06,,
rel_improvement,5.032e-06,,
rel_improvement,5.032e-06,,
rel_improvement,5.032e-06,,
rel_improvement,4.321e-07,,
rel_improvement,1.605e-02,,
rel_improvement,2.695e-09,,
rel_improvement,5.917e-02,,
rel_improvement,9.183e-07,,
rel_improvement,5.101e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,9.680e-07,,
rel_improvement,6.247e-06,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,2.469e-06,,
rel_improvement,2.485e-02,,
rel_improvement,4.321e-07,,
rel_improvement,7.523e-03,,
rel_improvement,1.338e-06,,
rel_improvement,2.469e-06,,
rel_improvement,9.183e-07,,
rel_improvement,7.140e-03,,
rel_improvement,9.099e-03,,
rel_improvement,3.307e-06,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,5.214e-06,,
rel_improvement,4.081e-06,,
rel_improvement,3.924e-08,,
rel_improvement,2.200e-02,,
rel_improvement,1.523e-02,,
rel_improvement,7.740e-03,,
rel_improvement,4.081e-06,,
rel_improvement,3.924e-08,,
rel_improvement,3.924e-08,,
rel_improvement,3.769e-10,,
rel_improvement,9.183e-07,,
rel_improvement,7.700e-03,,
rel_improvement,3.924e-08,,
rel_improvement,3.924e-08,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
rel_improvement,1.164e-01,,
rel_improvement,1.164e-01,,
rel_improvement,1.164e-01,,
rel_improvement,1.164e-01,,
rel_improvement,4.219e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.219e-07,,
rel_improvement,9.680e-07,,
rel_improvement,8.145e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,9.183e-07,,
rel_improvement,4.219e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,9.680e-07,,
rel_improvement,2.122e-02,,
rel_improvement,9.680e-07,,
rel_improvement,4.053e-09,,
rel_improvement,4.053e-09,,
rel_improvement,4.321e-07,,
rel_improvement,9.183e-07,,
rel_improvement,2.365e-02,,
rel_improvement,4.321e-07,,
rel_improvement,6.895e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,4.900e-09,,
rel_improvement,4.900e-09,,
rel_improvement,4.219e-07,,
rel_improvement,9.183e-07,,
rel_improvement,1.017e-06,,
rel_improvement,4.081e-06,,
rel_improvement,3.924e-08,,
rel_improvement,4.081e-06,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
rel_improvement,3.924e-08,,
rel_improvement,1.017e-06,,
rel_improvement,1.519e-02,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
rel_improvement,2.469e-06,,
rel_improvement,9.183e-07,,
rel_improvement,1.163e-01,,
rel_improvement,2.549e-02,,
rel_improvement,4.051e-02,,
rel_improvement,7.057e-02,,
rel_improvement,9.440e-02,,
rel_improvement,1.683e-02,,
rel_improvement,1.685e-02,,
rel_improvement,3.231e-02,,
rel_improvement,1.017e-06,,
rel_improvement,2.469e-06,,
rel_improvement,8.140e-03,,
rel_improvement,8.364e-03,,
rel_improvement,9.183e-07,,
rel_improvement,8.240e-03,,
rel_improvement,8.140e-03,,
rel_improvement,2.009e-02,,
rel_improvement,5.029e-02,,
rel_improvement,7.259e-03,,
rel_improvement,5.490e-02,,
rel_improvement,7.256e-03,,
rel_improvement,1.017e-06,,
rel_improvement,3.307e-06,,
rel_improvement,4.252e-06,,
rel_improvement,1.017e-06,,
rel_improvement,4.464e-06,,
rel_improvement,8.588e-06,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.613e-02,,
rel_improvement,1.479e-02,,
rel_improvement,8.588e-06,,
rel_improvement,5.402e-08,,
rel_improvement,7.773e-03,,
rel_improvement,2.283e-02,,
rel_improvement,8.140e-03,,
rel_improvement,7.419e-03,,
rel_improvement,1.295e-02,,
rel_improvement,1.461e-02,,
rel_improvement,1.486e-02,,
rel_improvement,2.137e-02,,
rel_improvement,5.979e-02,,
rel_improvement,5.617e-06,,
rel_improvement,8.265e-08,,
rel_improvement,8.265e-08,,
rel_improvement,7.660e-03,,
rel_improvement,2.009e-02,,
rel_improvement,1.017e-06,,
rel_improvement,4.252e-06,,
rel_improvement,1.479e-02,,
rel_improvement,5.617e-06,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.265e-08,,
rel_improvement,8.613e-02,,
rel_improvement,3.307e-06,,
rel_improvement,1.461e-02,,
rel_improvement,6.844e-02,,
rel_improvement,1.523e-01,,
rel_improvement,3.753e-02,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,5.214e-06,,
rel_improvement,7.587e-03,,
rel_improvement,7.176e-03,,
rel_improvement,5.617e-06,,
rel_improvement,5.402e-08,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,4.900e-09,,
rel_improvement,5.402e-08,,
rel_improvement,3.307e-06,,
rel_improvement,8.265e-08,,
rel_improvement,1.479e-02,,
rel_improvement,7.490e-03,,
rel_improvement,8.588e-06,,
rel_improvement,5.402e-08,,
rel_improvement,5.402e-08,,
rel_improvement,9.158e-02,,
rel_improvement,7.176e-03,,
rel_improvement,1.533e-02,,
rel_improvement,1.338e-06,,
rel_improvement,7.732e-03,,
rel_improvement,1.338e-06,,
rel_improvement,4.464e-06,,
rel_improvement,2.009e-02,,
rel_improvement,1.541e-02,,
rel_improvement,7.176e-03,,
rel_improvement,4.321e-07,,
rel_improvement,3.179e-08,,
rel_improvement,3.307e-06,,
rel_improvement,8.140e-03,,
rel_improvement,2.064e-02,,
rel_improvement,6.182e-03,,
rel_improvement,7.509e-03,,
rel_improvement,1.338e-06,,
rel_improvement,4.464e-06,,
rel_improvement,5.884e-02,,
rel_improvement,8.588e-06,,
rel_improvement,5.402e-08,,
rel_improvement,4.900e-09,,
rel_improvement,4.252e-06,,
rel_improvement,2.009e-02,,
rel_improvement,1.555e-02,,
rel_improvement,3.307e-06,,
rel_improvement,5.402e-08,,
rel_improvement,5.402e-08,,
rel_improvement,8.265e-08,,
rel_improvement,2.170e-02,,
rel_improvement,2.288e-02,,
rel_improvement,7.490e-03,,
rel_improvement,1.326e-02,,
rel_improvement,8.588e-06,,
rel_improvement,9.183e-07,,
rel_improvement,7.321e-03,,
rel_improvement,3.065e-02,,
rel_improvement,6.950e-07,,
rel_improvement,4.252e-06,,
rel_improvement,2.867e-02,,
rel_improvement,1.488e-02,,
rel_improvement,9.183e-07,,
rel_improvement,1.338e-06,,
rel_improvement,9.183e-07,,
rel_improvement,1.017e-06,,
rel_improvement,3.307e-06,,
rel_improvement,1.272e-01,,
rel_improvement,3.179e-08,,
rel_improvement,5.214e-06,,
rel_improvement,9.183e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,1.272e-01,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,2.343e-02,,
rel_improvement,4.321e-07,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,1.913e-06,,
rel_improvement,7.749e-03,,
rel_improvement,8.240e-03,,
rel_improvement,2.469e-06,,
rel_improvement,4.321e-07,,
rel_improvement,6.950e-07,,
rel_improvement,6.950e-07,,
rel_improvement,9.183e-07,,
rel_improvement,9.183e-07,,
rel_improvement,2.283e-02,,
rel_improvement,2.296e-02,,
rel_improvement,4.113e-02,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,9.680e-07,,
rel_improvement,6.247e-06,,
rel_improvement,4.389e-02,,
rel_improvement,3.742e-02,,
rel_improvement,4.321e-07,,
rel_improvement,1.488e-02,,
rel_improvement,7.140e-03,,
rel_improvement,8.140e-03,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,9.099e-03,,
rel_improvement,9.183e-07,,
rel_improvement,8.275e-03,,
rel_improvement,1.017e-06,,
rel_improvement,2.469e-06,,
rel_improvement,4.321e-07,,
rel_improvement,9.680e-07,,
rel_improvement,1.338e-06,,
rel_improvement,8.556e-03,,
rel_improvement,7.907e-03,,
rel_improvement,3.179e-08,,
rel_improvement,3.307e-06,,
rel_improvement,5.214e-06,,
rel_improvement,9.183e-07,,
rel_improvement,1.338e-06,,
rel_improvement,1.338e-06,,
rel_improvement,3.542e-02,,
rel_improvement,1.017e-06,,
rel_improvement,5.214e-06,,
rel_improvement,5.519e-02,,
rel_improvement,3.924e-08,,
rel_improvement,3.769e-10,,
rel_improvement,1.913e-06,,
rel_improvement,9.099e-03,,
rel_improvement,1.017e-06,,
rel_improvement,1.913e-06,,
rel_improvement,4.321e-07,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,3.307e-06,,
rel_improvement,8.275e-03,,
rel_improvement,9.183e-07,,
rel_improvement,3.924e-08,,
rel_improvement,4.081e-06,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
rel_improvement,1.428e-02,,
rel_improvement,3.924e-08,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
rel_improvement,3.179e-08,,
rel_improvement,3.179e-08,,
rel_improvement,7.542e-03,,
rel_improvement,3.769e-10,,
rel_improvement,3.769e-10,,
