shape,n,container,proposer,gap
tan,10,L,random,0.013713601325749947
tan,10,L,random,0.013713635659616141
tan,10,L,random,0.0014900331092650987
tan,10,L,llm,0.013713601325749947
tan,10,L,llm,0.013713635659616141
tan,10,L,llm,0.0014900331092650987
tan,13,L,random,0.09005237724805615
tan,13,L,random,0.05550951546611427
tan,13,L,random,0.052736401082306816
tan,13,L,llm,0.0772967713880699
tan,13,L,llm,0.04510422271037173
tan,13,L,llm,0.04982757040269137
tan,5,tan,random,0.00016953445146272728
tan,5,tan,random,0.00016956892625508146
tan,5,tan,random,0.00016963057564378659
tan,5,tan,llm,0.00016953445146272728
tan,5,tan,llm,0.00016956892625508146
tan,5,tan,llm,0.00016963057564378659
tan,7,tan,random,1e-05
tan,7,tan,random,0.003215727283283343
tan,7,tan,random,0.0013242320656727813
tan,7,tan,llm,1e-05
tan,7,tan,llm,0.003215727283283343
tan,7,tan,llm,0.0013242320656727813
tan,10,tan,random,0.01869081249817217
tan,10,tan,random,0.06667959473784668
tan,10,tan,random,0.05787765371401443
tan,10,tan,llm,1e-05
tan,10,tan,llm,0.06667959473784668
tan,10,tan,llm,0.018688734777937643
tan,12,tan,random,0.08982045449511888
tan,12,tan,random,0.08982058489878719
tan,12,tan,random,0.004034274837517948
tan,12,tan,llm,1e-05
tan,12,tan,llm,0.08982058489878719
tan,12,tan,llm,0.12797948332762799
