family,n,slack
circle in square,2,0.36207
ngon:3 in tan,4,0.27123
square in tan,6,0.15470
ngon:3 in tan,29,0.07863
tan in tan,4,0.00000
tan in L,10,0.09541
square in square,3,0.15470
L in square,8,0.02062
domino in square,10,0.11803
tan in L,2,0.22474
circle in tan,6,0.20753
square in square,10,0.17229
domino in square,3,0.22474
circle in square,11,0.19460
L in square,3,0.20711
ngon:3 in tan,30,0.07171
tan in L,6,0.00000
tan in square,11,0.02942
tan in square,2,0.00000
ngon:3 in tan,18,0.08181
tan in square,12,0.06938
ngon:3 in tan,5,0.22018
L in square,7,0.09109
ngon:3 in tan,28,0.08110
domino in square,12,0.02062
domino in square,9,0.14807
tan in L,5,0.09545
circle in tan,5,0.27498
circle in tan,8,0.22600
square in square,9,0.00000
tan in tan,3,0.13264
square in tan,5,0.26491
square in tan,8,0.20711
square in square,12,0.15470
circle in square,8,0.16964
ngon:3 in tan,19,0.09929
ngon:3 in tan,6,0.15769
L in square,9,0.13354
domino in square,7,0.06904
square in tan,10,0.11803
square in tan,3,0.22474
circle in square,6,0.22724
tan in tan,2,0.00000
tan in tan,12,0.01944
tan in square,7,0.06904
L in square,2,0.22474
circle in tan,10,0.18767
circle in tan,3,0.24705
square in square,7,0.13389
ngon:3 in tan,7,0.13305
L in square,12,0.12796
tan in L,8,0.10710
L in square,6,0.16960
domino in square,5,0.19147
tan in square,9,0.04044
tan in tan,5,0.07746
tan in square,4,0.00000
square in square,5,0.21065
circle in square,4,0.12838
square in square,11,0.16899
domino in square,2,0.00000
ngon:3 in tan,26,0.07680
tan in L,9,0.10578
tan in square,8,0.00000
tan in square,5,0.13119
ngon:3 in tan,12,0.12446
circle in square,10,0.20383
circle in tan,12,0.20061
ngon:3 in tan,23,0.08217
circle in square,3,0.28074
ngon:3 in tan,17,0.09478
square in square,2,0.41421
domino in square,11,0.06600
tan in tan,10,0.07160
square in tan,12,0.15470
ngon:3 in tan,27,0.07490
tan in tan,7,0.06904
circle in square,12,0.16368
square in tan,11,0.15431
square in tan,2,0.41421
square in square,8,0.06066
circle in square,9,0.12838
ngon:3 in tan,13,0.10619
ngon:3 in tan,22,0.08427
circle in tan,11,0.20997
circle in tan,2,0.36207
ngon:3 in tan,16,0.08507
L in square,11,0.04447
domino in square,8,0.00000
tan in square,6,0.11886
tan in tan,8,0.06066
L in square,5,0.03280
tan in tan,6,0.10258
circle in tan,4,0.24523
ngon:3 in tan,24,0.07736
circle in tan,9,0.20628
ngon:3 in tan,9,0.13995
circle in square,7,0.22232
tan in L,4,0.18301
square in square,6,0.22474
ngon:3 in tan,10,0.13519
ngon:3 in tan,21,0.08837
square in tan,4,0.25000
domino in square,6,0.15470
square in tan,9,0.16667
tan in L,12,0.00000
ngon:3 in tan,15,0.10532
tan in tan,9,0.00000
ngon:3 in tan,25,0.08658
square in square,4,0.00000
tan in L,11,0.04447
ngon:3 in tan,8,0.16754
ngon:3 in tan,11,0.12411
square in tan,7,0.17975
circle in square,5,0.21828
ngon:3 in tan,20,0.09598
L in square,4,0.15470
tan in square,10,0.07055
tan in square,3,0.15470
tan in L,7,0.05365
L in square,10,0.09545
domino in square,4,0.06066
ngon:3 in tan,14,0.11507
circle in tan,7,0.23363
tan in tan,11,0.02942
tan in L,3,0.28897
