shape,n,container,record,proposer,seed,s,gap,seconds
tan,5,tan,2.4058,random,0,2.405969534451463,0.00016953445146272728,49.2
tan,5,tan,2.4058,random,1,2.4059695689262552,0.00016956892625508146,47.2
tan,5,tan,2.4058,random,2,2.405969630575644,0.00016963057564378659,45.3
tan,5,tan,2.4058,llm,0,2.405969534451463,0.00016953445146272728,444.9
tan,5,tan,2.4058,llm,1,2.4059695689262552,0.00016956892625508146,453.8
tan,5,tan,2.4058,llm,2,2.405969630575644,0.00016963057564378659,428.8
tan,7,tan,2.8245,random,0,2.824347535833242,-0.00015246416675784857,53.4
tan,7,tan,2.8245,random,1,2.8277157272832834,0.003215727283283343,143.6
tan,7,tan,2.8245,random,2,2.825824232065673,0.0013242320656727813,54.9
tan,7,tan,2.8245,llm,0,2.824347535833242,-0.00015246416675784857,601.4
tan,7,tan,2.8245,llm,1,2.8277157272832834,0.003215727283283343,786.4
tan,7,tan,2.8245,llm,2,2.825824232065673,0.0013242320656727813,452.6
tan,10,tan,3.3075,random,0,3.3261908124981723,0.01869081249817217,69.1
tan,10,tan,3.3075,random,1,3.374179594737847,0.06667959473784668,56.6
tan,10,tan,3.3075,random,2,3.3653776537140145,0.05787765371401443,60.8
tan,10,tan,3.3075,llm,0,3.3074635874239,-3.641257610009774e-05,461.7
tan,10,tan,3.3075,llm,1,3.374179594737847,0.06667959473784668,429.6
tan,10,tan,3.3075,llm,2,3.3261887347779377,0.018688734777937643,441.9
tan,12,tan,3.5315,random,0,3.6213204544951187,0.08982045449511888,65.4
tan,12,tan,3.5315,random,1,3.621320584898787,0.08982058489878719,71.4
tan,12,tan,3.5315,random,2,3.535534274837518,0.004034274837517948,67.0
tan,12,tan,3.5315,llm,0,3.5310733464834296,-0.0004266535165702301,462.8
tan,12,tan,3.5315,llm,1,3.621320584898787,0.08982058489878719,452.7
tan,12,tan,3.5315,llm,2,3.659479483327628,0.12797948332762799,442.3
tan,10,L,1.4005,random,0,1.41421360132575,0.013713601325749947,66.8
tan,10,L,1.4005,random,1,1.4142136356596162,0.013713635659616141,62.7
tan,10,L,1.4005,random,2,1.4019900331092652,0.0014900331092650987,349.8
tan,10,L,1.4005,llm,0,1.41421360132575,0.013713601325749947,431.0
tan,10,L,1.4005,llm,1,1.4142136356596162,0.013713635659616141,441.1
tan,10,L,1.4005,llm,2,1.4019900331092652,0.0014900331092650987,726.2
tan,13,L,1.4995,random,0,1.5895523772480562,0.09005237724805615,90.1
tan,13,L,1.4995,random,1,1.5550095154661143,0.05550951546611427,89.6
tan,13,L,1.4995,random,2,1.5522364010823069,0.052736401082306816,97.1
tan,13,L,1.4995,llm,0,1.57679677138807,0.0772967713880699,525.2
tan,13,L,1.4995,llm,1,1.5446042227103718,0.04510422271037173,536.8
tan,13,L,1.4995,llm,2,1.5493275704026914,0.04982757040269137,461.0
