name,shape,n,container,s,record,beat,seconds
2_tan_in_tan,tan,2,tan,1.4142135626,,False,15.5
3_tan_in_tan,tan,3,tan,1.9617900112,,False,16.1
4_tan_in_tan,tan,4,tan,2.0000000010,,False,18.9
5_tan_in_tan,tan,5,tan,2.4059695345,,False,26.3
6_tan_in_tan,tan,6,tan,2.6900698404,,False,34.5
7_tan_in_tan,tan,7,tan,2.8284271408,,False,25.7
8_tan_in_tan,tan,8,tan,2.8284271822,,False,26.1
9_tan_in_tan,tan,9,tan,3.1209415327,,False,48.4
10_tan_in_tan,tan,10,tan,3.3832345624,,False,404.3
11_tan_in_tan,tan,11,tan,3.4142145479,,False,32.0
12_tan_in_tan,tan,12,tan,3.5313656911,,False,89.5
2_tan_in_L,tan,2,L,0.7071067821,,False,13.7
3_tan_in_L,tan,3,L,0.9114378292,,False,16.7
4_tan_in_L,tan,4,L,0.9659258757,,False,20.2
5_tan_in_L,tan,5,L,1.0000000051,,False,20.7
6_tan_in_L,tan,6,L,1.0000000025,,False,23.2
7_tan_in_L,tan,7,L,1.1643814349,,False,29.4
8_tan_in_L,tan,8,L,1.2783739844,,False,255.1
9_tan_in_L,tan,9,L,1.3333333572,,False,34.1
10_tan_in_L,tan,10,L,1.4017567575,,False,626.7
11_tan_in_L,tan,11,L,1.4142135635,,False,35.2
2_tan_in_tan,tan,2,tan,1.4142135628,,False,18.5
3_tan_in_tan,tan,3,tan,1.9617900156,,False,23.8
4_tan_in_tan,tan,4,tan,2.0000000010,,False,27.7
5_tan_in_tan,tan,5,tan,2.4092729698,,False,33.3
6_tan_in_tan,tan,6,tan,2.7007665383,,False,39.1
7_tan_in_tan,tan,7,tan,2.8284271408,,False,38.5
8_tan_in_tan,tan,8,tan,3.0000000621,,False,51.4
9_tan_in_tan,tan,9,tan,3.0000000039,,False,60.6
10_tan_in_tan,tan,10,tan,3.3887098023,,False,58.1
11_tan_in_tan,tan,11,tan,3.4142142061,,False,56.8
12_tan_in_tan,tan,12,tan,3.5314579910,,False,329.1
2_tan_in_L,tan,2,L,0.7071067818,,False,22.4
3_tan_in_L,tan,3,L,0.9114378294,,False,26.8
4_tan_in_L,tan,4,L,0.9659258757,,False,32.5
5_tan_in_L,tan,5,L,1.0000000045,,False,32.0
6_tan_in_L,tan,6,L,1.0000000025,,False,35.3
7_tan_in_L,tan,7,L,1.1380712346,,False,41.4
8_tan_in_L,tan,8,L,1.2783739844,,False,263.6
9_tan_in_L,tan,9,L,1.3543039119,,False,48.3
10_tan_in_L,tan,10,L,1.4141683589,,False,85.9
11_tan_in_L,tan,11,L,1.4142135642,,False,54.9
12_tan_in_L,tan,12,L,1.4142137958,,False,64.3
2_tan_in_square,tan,2,square,1.0000000007,,False,29.6
3_tan_in_square,tan,3,square,1.4142135629,,False,28.7
4_tan_in_square,tan,4,square,1.4142135638,,False,30.7
5_tan_in_square,tan,5,square,1.7885698379,,False,38.1
6_tan_in_square,tan,6,square,1.9379151516,,False,47.8
7_tan_in_square,tan,7,square,2.0000000063,,False,43.0
8_tan_in_square,tan,8,square,2.0000000035,,False,45.5
9_tan_in_square,tan,9,square,2.2071071747,,False,50.5
10_tan_in_square,tan,10,square,2.3938229214,,False,67.7
11_tan_in_square,tan,11,square,2.4142136512,,False,57.5
12_tan_in_square,tan,12,square,2.6194321570,,False,226.4
2_square_in_tan,square,2,tan,2.8284271275,,False,19.9
3_square_in_tan,square,3,tan,3.0000000011,,False,23.3
4_square_in_tan,square,4,tan,3.5355339166,,False,27.7
5_square_in_tan,square,5,tan,4.0000000048,,False,31.1
6_square_in_tan,square,6,tan,4.0000000040,,False,35.1
7_square_in_tan,square,7,tan,4.4142136066,,False,40.1
8_square_in_tan,square,8,tan,4.8284280349,,False,51.1
9_square_in_tan,square,9,tan,4.9497480821,,False,55.8
10_square_in_tan,square,10,tan,5.0000001052,,False,56.2
11_square_in_tan,square,11,tan,5.4142137742,,False,59.6
12_square_in_tan,square,12,tan,5.6568544622,,False,65.8
2_circle_in_tan,circle,2,tan,4.8284271257,,False,12.3
3_circle_in_tan,circle,3,tan,5.4142135635,,False,14.1
4_circle_in_tan,circle,4,tan,6.2426406899,,False,14.1
5_circle_in_tan,circle,5,tan,7.1462643935,,False,19.5
6_circle_in_tan,circle,6,tan,7.4142135655,,False,17.8
7_circle_in_tan,circle,7,tan,8.1813157046,,False,21.2
8_circle_in_tan,circle,8,tan,8.6921305273,,False,21.7
9_circle_in_tan,circle,9,tan,9.0710678923,,False,23.1
10_circle_in_tan,circle,10,tan,9.4142136805,,False,23.3
11_circle_in_tan,circle,11,tan,10.0591378611,,False,30.8
12_circle_in_tan,circle,12,tan,10.4251924670,,False,35.5
2_square_in_square,square,2,square,2.0000000033,,False,29.4
3_square_in_square,square,3,square,2.0000000033,,False,29.5
4_square_in_square,square,4,square,2.0000000017,,False,31.7
5_square_in_square,square,5,square,2.7071067867,,False,35.3
6_square_in_square,square,6,square,3.0000000554,,False,39.8
7_square_in_square,square,7,square,3.0000000066,,False,41.0
8_square_in_square,square,8,square,3.0000000074,,False,39.2
9_square_in_square,square,9,square,3.0000000081,,False,40.5
10_square_in_square,square,10,square,3.7071076165,,False,52.4
11_square_in_square,square,11,square,3.8770856854,,False,59.6
12_square_in_square,square,12,square,4.0000136793,,False,54.8
2_circle_in_square,circle,2,square,3.4142135650,,False,11.7
3_circle_in_square,circle,3,square,3.9318516578,,False,14.2
4_circle_in_square,circle,4,square,4.0000000014,,False,13.2
5_circle_in_square,circle,5,square,4.8284271283,,False,16.8
6_circle_in_square,circle,6,square,5.3282012262,,False,19.6
7_circle_in_square,circle,7,square,5.7320508421,,False,21.4
8_circle_in_square,circle,8,square,5.8637034044,,False,23.8
9_circle_in_square,circle,9,square,6.0000000023,,False,17.9
10_circle_in_square,circle,10,square,6.7474421391,,False,28.1
11_circle_in_square,circle,11,square,7.0225095661,,False,24.2
12_circle_in_square,circle,12,square,7.1449578350,,False,26.9
2_domino_in_square,domino,2,square,2.0000000026,,False,25.3
